rank,score_f,alltime_score_%,price_f,mileage_f,source,year,model,version,drivetrain,color,distance_f,score_adjustments,estimated_value,listing_discount,days_detected,active_sources,vin,link_0,link_1,link_2,link_3
1,14.7k,0.4,$16.8k,"33,537",autolist,2018,compass,Latitude,4x4,gray,25,{},18022,7%,13,['autolist'],3C4NJDBB9JT235025,https://www.autolist.com/jeep-compass#vin=3C4NJDBB9JT235025,,,
2,15.0k,0.9,$16.0k,"45,150",autolist,2018,compass,Latitude,4x4,black,1637,{},16816,5%,43,['autolist'],3C4NJDBB2JT114451,https://www.autolist.com/jeep-compass#vin=3C4NJDBB2JT114451,,,
3,15.1k,1.3,$17.0k,"22,145",autolist,2018,compass,Latitude,4x4,gray,1637,{},19209,12%,27,"['auto_trader', 'autolist']",3C4NJDBB9JT315506,https://www.autolist.com/jeep-compass#vin=3C4NJDBB9JT315506,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJDBB9JT315506,,
4,15.4k,2.4,$17.0k,"23,782",autolist,2018,compass,Latitude,4x4,silver,1637,{},19000,11%,33,['autolist'],3C4NJDBB8JT116429,https://www.autolist.com/jeep-compass#vin=3C4NJDBB8JT116429,,,
5,15.4k,2.8,$16.5k,"25,201",autolist,2018,compass,Latitude,4x4,blue,1637,{},18796,12%,41,['autolist'],3C4NJDBB0JT116165,https://www.autolist.com/jeep-compass#vin=3C4NJDBB0JT116165,,,
6,15.4k,3.2,$16.5k,"29,284",autolist,2018,compass,Latitude,4x4,black,1637,{'light_damages': 500},18457,11%,43,['autolist'],3C4NJDBB2JT284423,https://www.autolist.com/jeep-compass#vin=3C4NJDBB2JT284423,,,
7,15.6k,3.6,$17.0k,"37,384",autolist,2018,compass,4WD Latitude,4x4,gray,1637,{},17688,4%,54,['autolist'],3C4NJDBB3JT142565,https://www.autolist.com/jeep-compass#vin=3C4NJDBB3JT142565,,,
8,16.0k,4.9,$12.0k,"59,866",autolist,2014,grand_cherokee,Sport,,,,{},,,9,['autolist'],1C4NJPBA2ED813972,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJPBA2ED813972,,,
9,16.1k,5.6,$16.3k,"15,779",autolist,2018,compass,Latitude,fwd,gray,42,{},19863,18%,26,"['auto_trader', 'autolist']",3C4NJCBB6JT466412,https://www.autolist.com/jeep-compass#vin=3C4NJCBB6JT466412,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB6JT466412,,
10,16.3k,7.7,$15.9k,"49,134",autolist,2011,grand_cherokee,Laredo,4x4,gray,10,{},18750,15%,26,"['auto_trader', 'autolist']",1J4RR4GG3BC530823,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=1J4RR4GG3BC530823,https://www.autolist.com/jeep-grand+cherokee#vin=1J4RR4GG3BC530823,,
