rank,score_f,alltime_score_%,price_f,mileage_f,source,year,model,version,drivetrain,color,distance_f,score_adjustments,estimated_value,listing_discount,days_detected,active_sources,vin,link_0,link_1,link_2,link_3
1,15.1k,1.4,$16.5k,"31,344",edmunds,2018,compass,Latitude,4x4,silver,1637,{},18311,10%,32,"['auto_trader', 'autolist', 'edmunds']",3C4NJDBB8JT144649,https://www.autolist.com/jeep-compass#vin=3C4NJDBB8JT144649,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJDBB8JT144649,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB8JT144649/,
2,15.5k,3.7,$16.5k,"45,150",edmunds,2018,compass,Latitude,4x4,black,1637,{},16816,2%,32,"['auto_trader', 'autolist', 'edmunds']",3C4NJDBB2JT114451,https://www.autolist.com/jeep-compass#vin=3C4NJDBB2JT114451,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJDBB2JT114451,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB2JT114451/,
3,15.6k,4.0,$17.0k,"37,384",edmunds,2018,compass,4WD Latitude,4x4,gray,1637,{},17688,4%,43,"['auto_trader', 'autolist', 'edmunds']",3C4NJDBB3JT142565,https://www.autolist.com/jeep-compass#vin=3C4NJDBB3JT142565,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJDBB3JT142565,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB3JT142565/,
4,15.7k,4.6,$15.0k,"51,535",edmunds,2011,grand_cherokee,Laredo,4x4,silver,80,{},14513,-3%,32,['edmunds'],1J4RR4GG2BC693883,https://www.edmunds.com/jeep/grand-cherokee/2011/vin/1J4RR4GG2BC693883/,,,
5,15.8k,4.8,$17.0k,"32,156",edmunds,2018,compass,Latitude,4x4,black,1631,{},16639,-2%,4,['edmunds'],3C4NJDBB4JT314568,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB4JT314568/,,,
6,15.9k,5.1,$15.8k,"24,300",edmunds,2018,compass,Latitude,fwd,gray,29,{},19022,17%,27,"['auto_trader', 'autolist', 'edmunds']",3C4NJCBB0JT226871,https://www.autolist.com/jeep-compass#vin=3C4NJCBB0JT226871,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB0JT226871,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB0JT226871/,
7,15.9k,6.0,$17.0k,"29,284",edmunds,2018,compass,Latitude,4x4,black,1637,{'light_damages': 500},18457,8%,32,"['autolist', 'edmunds']",3C4NJDBB2JT284423,https://www.autolist.com/jeep-compass#vin=3C4NJDBB2JT284423,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB2JT284423/,,
8,16.1k,6.8,$17.0k,"32,000",edmunds,2018,compass,Latitude,4x4,white,1488,{},18083,6%,2,"['autolist', 'edmunds']",3C4NJDBB3JT144848,https://www.autolist.com/jeep-compass#vin=3C4NJDBB3JT144848,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB3JT144848/,,
9,16.1k,7.1,$16.3k,"15,779",edmunds,2018,compass,Latitude,fwd,gray,42,{},19863,18%,15,"['auto_trader', 'autolist', 'edmunds']",3C4NJCBB6JT466412,https://www.autolist.com/jeep-compass#vin=3C4NJCBB6JT466412,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB6JT466412,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB6JT466412/,
10,16.1k,7.7,$15.8k,"31,251",autolist,2018,compass,Latitude,fwd,gray,63,{},18154,13%,32,"['autolist', 'edmunds']",3C4NJCBB2JT169671,https://www.autolist.com/jeep-compass#vin=3C4NJCBB2JT169671,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB2JT169671/,,
11,16.1k,8.0,$17.0k,"25,443",edmunds,2018,compass,Latitude,4x4,black,1871,{},18709,9%,1,['edmunds'],3C4NJDBB8JT107598,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB8JT107598/,,,
12,16.2k,8.3,$17.0k,"25,105",edmunds,2018,compass,Latitude,4x4,gray,2102,{},17975,5%,3,['edmunds'],3C4NJDBB7JT162284,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB7JT162284/,,,
13,16.2k,8.8,$16.0k,"26,699",edmunds,2018,compass,Sport,fwd,gray,182,{},16172,1%,11,['edmunds'],3C4NJCAB4JT255064,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCAB4JT255064/,,,
14,16.2k,9.1,$17.0k,"33,881",edmunds,2018,compass,Latitude,4x4,white,2427,{},,,4,['edmunds'],3C4NJDBB9JT113197,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB9JT113197/,,,
15,16.3k,10.0,$17.0k,"25,594",edmunds,2018,compass,Latitude,4x4,silver,1956,{},19270,12%,4,['edmunds'],3C4NJDBB8JT252270,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB8JT252270/,,,
16,16.3k,10.3,$16.5k,"12,720",autolist,2018,compass,Latitude,fwd,black,31,{},20370,19%,12,['autolist'],3C4NJCBB5JT441226,https://www.autolist.com/jeep-compass#vin=3C4NJCBB5JT441226,,,
